step,avg_rho
25000,0.6084
50000,0.6436
75000,0.6549
100000,0.6669
125000,0.6715
150000,0.677
175000,0.6759
200000,0.6764
225000,0.6765
250000,0.678
275000,0.6786
300000,0.6808
325000,0.6813
350000,0.681
375000,0.6823
400000,0.6807
425000,0.6814
450000,0.6787
475000,0.6798
500000,0.6798
525000,0.6776
550000,0.6786
575000,0.68
600000,0.679
624000,0.6806
