step,avg_rho,avg_links_len,avg_prepositional_chain_len,avg_subordinate_chain_len,avg_token_per_clause,avg_verb_edges,char_per_tok,dep_dist_acl,dep_dist_acl:relcl,dep_dist_advcl,dep_dist_advmod,dep_dist_amod,dep_dist_case,dep_dist_conj,dep_dist_cop,dep_dist_flat:name,dep_dist_mark,dep_dist_nmod,dep_dist_nsubj,dep_dist_nummod,dep_dist_obj,dep_dist_obl,lexical_density,max_links_len,n_prepositional_chains,n_tokens,obj_post,principal_proposition_dist,subj_post,subj_pre,subordinate_post,subordinate_proposition_dist,upos_dist_ADJ,upos_dist_ADP,upos_dist_ADV,upos_dist_CCONJ,upos_dist_DET,upos_dist_NOUN,upos_dist_NUM,upos_dist_PRON,upos_dist_PROPN,upos_dist_PUNCT,upos_dist_SCONJ,upos_dist_VERB,verb_edges_dist_1,verb_edges_dist_2,verb_edges_dist_3,verb_edges_dist_4,verbs_mood+tense_dist_Ind_PassPross,verbs_mood+tense_dist_Ind_Pres,verbs_mood+tense_dist_Inf_Pres,verbs_mood+tense_dist_Part_Past,verbs_mood_dist_Ind,verbs_mood_dist_Inf,verbs_mood_dist_Part,verbs_num_pers_dist_Plur+3,verbs_num_pers_dist_Sing+3,verbs_tense_dist_PassPross,verbs_tense_dist_Past,verbs_tense_dist_Pres,verbs_voice_dist_Active,verbs_voice_dist_Passive,xpos_dist_FB,xpos_dist_FF,xpos_dist_VA
8000,0.6782,0.8515,0.7883,0.8067,0.7631,0.6573,0.757,0.4227,0.5976,0.5051,0.7117,0.6851,0.9035,0.7541,0.4775,0.5263,0.6818,0.8069,0.6983,0.5426,0.7031,0.6623,0.736,0.8484,0.8381,0.9428,0.7206,0.7656,0.5353,0.7042,0.7088,0.8131,0.6583,0.9106,0.7109,0.7489,0.8713,0.8055,0.6448,0.705,0.7603,0.8901,0.5612,0.8229,0.3434,0.3887,0.3108,0.3568,0.5595,0.6441,0.7368,0.4453,0.7415,0.7488,0.4643,0.7487,0.7903,0.5665,0.4462,0.6821,0.6273,0.5727,0.6241,0.8709,0.7295
12000,0.6784,0.8434,0.7829,0.8069,0.7551,0.6508,0.7539,0.429,0.6094,0.5079,0.6908,0.6941,0.9,0.7537,0.4698,0.525,0.6766,0.7956,0.711,0.5285,0.7038,0.6727,0.7265,0.842,0.8298,0.9419,0.7132,0.7608,0.5487,0.7201,0.7041,0.8124,0.6605,0.9033,0.6996,0.7483,0.8659,0.8005,0.6347,0.7083,0.7692,0.877,0.5595,0.8134,0.3475,0.3719,0.3181,0.3776,0.5718,0.6703,0.74,0.4485,0.7332,0.7545,0.4692,0.7546,0.8023,0.5784,0.4443,0.7147,0.6327,0.59,0.618,0.858,0.7237
16000,0.684,0.8418,0.7869,0.8115,0.7625,0.6568,0.7538,0.4286,0.6156,0.512,0.6986,0.6874,0.9007,0.7591,0.4981,0.5335,0.6825,0.797,0.7241,0.5336,0.7082,0.6865,0.7402,0.8342,0.828,0.9398,0.7198,0.7732,0.5647,0.731,0.7099,0.8205,0.6463,0.9037,0.7089,0.7452,0.8603,0.8013,0.6389,0.7227,0.7773,0.8651,0.5673,0.8225,0.3528,0.379,0.3283,0.3685,0.5791,0.6993,0.7417,0.4611,0.7516,0.754,0.477,0.7609,0.8073,0.589,0.4574,0.7293,0.6386,0.5879,0.6229,0.8535,0.7347
20000,0.6852,0.8402,0.7866,0.81,0.7522,0.6566,0.7561,0.4642,0.6225,0.511,0.6853,0.6883,0.8982,0.7638,0.5032,0.5311,0.6797,0.7942,0.7265,0.5493,0.7122,0.6884,0.7493,0.8359,0.8295,0.935,0.726,0.7753,0.5765,0.7374,0.714,0.8199,0.6586,0.9,0.696,0.7348,0.8582,0.8061,0.6338,0.7125,0.7754,0.8672,0.558,0.828,0.3526,0.4044,0.3143,0.369,0.5816,0.7121,0.7385,0.4741,0.7504,0.7529,0.4905,0.7587,0.8015,0.591,0.4661,0.7314,0.6396,0.585,0.616,0.8486,0.7284
24000,0.6855,0.8458,0.7852,0.8034,0.7533,0.6536,0.7605,0.4635,0.6097,0.512,0.6933,0.7011,0.8917,0.7765,0.5265,0.5377,0.6649,0.7876,0.7254,0.5546,0.7037,0.6661,0.7382,0.8358,0.825,0.9396,0.7157,0.7614,0.5815,0.7433,0.7045,0.8093,0.6745,0.8942,0.6977,0.7381,0.8603,0.809,0.6337,0.7182,0.7816,0.8601,0.5553,0.8269,0.344,0.3916,0.3235,0.3717,0.5976,0.7253,0.743,0.4579,0.7594,0.7557,0.4782,0.7641,0.81,0.6069,0.4574,0.735,0.6413,0.5815,0.6204,0.8541,0.7354
28000,0.6865,0.848,0.7873,0.8103,0.7584,0.6548,0.7482,0.4564,0.6129,0.5198,0.6957,0.6975,0.8966,0.772,0.5256,0.533,0.6682,0.7946,0.7341,0.5516,0.7001,0.6758,0.721,0.8375,0.8231,0.9339,0.7176,0.7809,0.589,0.7436,0.7162,0.8187,0.6801,0.8989,0.697,0.7457,0.8505,0.8101,0.6358,0.7278,0.7756,0.8581,0.5474,0.833,0.3454,0.392,0.3119,0.3559,0.6,0.7395,0.7416,0.4604,0.7641,0.7536,0.4752,0.7607,0.8063,0.6092,0.4581,0.7428,0.6468,0.5834,0.6235,0.8461,0.7348
32000,0.6885,0.85,0.7887,0.8133,0.7628,0.6525,0.7532,0.4676,0.61,0.5235,0.6988,0.6935,0.8956,0.7813,0.5298,0.5373,0.6664,0.7926,0.7409,0.5487,0.704,0.6759,0.7284,0.8344,0.8238,0.931,0.7207,0.7723,0.5923,0.7466,0.7169,0.8219,0.6722,0.899,0.696,0.7612,0.8571,0.8134,0.6413,0.7312,0.7774,0.8564,0.5524,0.8402,0.3575,0.3832,0.3112,0.366,0.6069,0.7352,0.74,0.4704,0.7638,0.7529,0.483,0.761,0.7996,0.6137,0.4622,0.7424,0.6547,0.5907,0.6179,0.8443,0.7356
36000,0.686,0.8499,0.7875,0.8056,0.7509,0.6515,0.7549,0.4599,0.6097,0.5186,0.6752,0.6928,0.8916,0.7802,0.5403,0.5309,0.6658,0.7934,0.7431,0.5489,0.6908,0.6769,0.7175,0.8341,0.8244,0.9326,0.7173,0.7728,0.592,0.7568,0.7183,0.816,0.6578,0.8975,0.6828,0.7576,0.8529,0.8139,0.6383,0.7176,0.7825,0.8509,0.5428,0.834,0.3553,0.3956,0.3303,0.3666,0.6007,0.7477,0.7473,0.4529,0.7647,0.7582,0.4641,0.7595,0.8004,0.6094,0.4444,0.7471,0.6492,0.5871,0.6197,0.8365,0.7407
40000,0.6874,0.8457,0.7829,0.8094,0.7517,0.6589,0.752,0.4653,0.6119,0.5263,0.6901,0.6947,0.8889,0.7751,0.5524,0.5442,0.6711,0.7922,0.7328,0.5442,0.6933,0.6743,0.7277,0.8307,0.8224,0.9292,0.7202,0.769,0.5875,0.7524,0.7143,0.8176,0.6634,0.8934,0.6928,0.7538,0.85,0.8162,0.6319,0.7188,0.7867,0.8501,0.5466,0.8391,0.3618,0.3762,0.3384,0.3627,0.6021,0.751,0.7448,0.4687,0.7662,0.7556,0.482,0.7633,0.8048,0.6096,0.4577,0.7479,0.6482,0.5922,0.6138,0.8364,0.7359
44000,0.688,0.843,0.7832,0.8165,0.7557,0.6595,0.7541,0.4654,0.6093,0.5356,0.681,0.6968,0.8894,0.7719,0.5486,0.5402,0.6836,0.7947,0.7382,0.5533,0.6843,0.6862,0.735,0.8327,0.8229,0.931,0.7165,0.7807,0.5992,0.7527,0.7182,0.8248,0.6666,0.894,0.6798,0.7533,0.8508,0.8222,0.644,0.7129,0.7847,0.8405,0.5564,0.8348,0.3583,0.389,0.3291,0.3521,0.6066,0.7434,0.7492,0.4607,0.7638,0.7607,0.4745,0.7644,0.807,0.6135,0.4519,0.7433,0.6472,0.5897,0.6139,0.8225,0.7464
